Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-02-28,3772.9363353275,3796.6372843084,3824.1658793727,3666.5240164294
BTC,2019-03-01,3799.678542951,3773.4414607526,3879.2311846694,3753.8000224646
BTC,2019-03-02,3811.6119793671,3799.3670260062,3840.0448230745,3788.9184983301
BTC,2019-03-03,3804.4191701095,3806.6915127875,3819.1943561235,3759.4092164743
BTC,2019-03-04,3782.6641011218,3807.8457559152,3818.6954813471,3766.2420482277
BTC,2019-03-05,3689.8628931904,3783.3550634445,3804.3536162349,3663.4777433591
BTC,2019-03-06,3832.0808847342,3701.0498710337,3866.7187042421,3688.6971538467
BTC,2019-03-07,3848.9563696825,3832.5924290751,3881.9657697745,3802.516053637
BTC,2019-03-08,3859.8399833296,3848.9563673107,3890.7454923564,3827.6703034796
BTC,2019-03-09,3828.3719040694,3859.800616241,3917.9975657866,3778.5164813299
BTC,2019-03-10,3898.8684595605,3841.8871376912,3948.8841402936,3832.1449117909
BTC,2019-03-11,3899.6558689562,3916.7561923023,3921.934211189,3865.9157812103
BTC,2019-03-12,3851.2491896498,3899.4592741125,3913.4555196012,3819.9289426072
BTC,2019-03-13,3866.2959463248,3851.6238815417,3879.9716038316,3795.675857003
BTC,2019-03-14,3846.2744415121,3866.295956546,3873.719094248,3823.8087959307
BTC,2019-03-15,3855.7443626577,3846.2744497219,3897.7257096203,3792.3919138171
BTC,2019-03-16,3892.0523011383,3855.7443243866,3908.2782944187,3843.4489631821
BTC,2019-03-17,3985.8512364813,3892.0522289395,4033.6827769674,3891.8183691166
BTC,2019-03-18,3970.3890446061,3989.5366651403,3992.6055063928,3931.5821801678
BTC,2019-03-19,3974.4157640954,3970.3835971649,4020.8924136856,3931.6740294885
BTC,2019-03-20,3996.037130764,3970.2819870686,4020.0070715102,3949.8929212251
BTC,2019-03-21,4027.7873954939,3996.0370554516,4034.5264965308,3964.7936371571
BTC,2019-03-22,3974.8114294551,4026.5886511868,4053.5380561331,3904.8360844785
BTC,2019-03-23,3987.3052249052,3974.8112480503,4002.5323162845,3957.9443157726
BTC,2019-03-24,3977.707443288,3977.2760394493,4006.9845681341,3961.8024253806
BTC,2019-03-25,3968.4387009854,3977.707443288,3990.9652916493,3940.8797442035
